id,title,url,note
SRC-001,Pump Track Chat #2 — Coleman Bike Park and Hope for Warwick Township,https://sitemap.lititzbmx.com/record-collection/collections/pump-track-chat/records/ptc-brandon-hetrick-coleman-warwick-update/,Primary dossier for the Coleman Bike Park and Warwick Township discussion.
SRC-002,Pump Track Builds with Brandon Hetrick,https://sitemap.lititzbmx.com/record-collection/collections/pump-track-chat/records/ptc-brandon-hetrick-pump-track-builds/,Primary dossier for Brandon Hetrick’s pump-track building discussion.
SRC-003,Warwick Township Follow-Up,https://sitemap.lititzbmx.com/record-collection/collections/pump-track-chat/records/ptc-warwick-follow-up/,Warwick Township follow-up record.
SRC-004,Warwick Township Public-Comment Rehearsal / Reconstruction,https://sitemap.lititzbmx.com/record-collection/collections/pump-track-chat/records/ptc-warwick-public-comment-rehearsal/,Public-comment preparation and reconstruction record.
SRC-005,Pump Track Chat Returns with Brandon Hetrick,https://sitemap.lititzbmx.com/youtube-archive/records/sMhoaIE3TKY/,Long-form Lititz BMX YouTube archive record.
SRC-006,Warwick Township Council Meeting Update,https://sitemap.lititzbmx.com/youtube-archive/records/DYTztC1phC8/,Long-form Warwick Township meeting-update archive record.
SRC-007,Pump Track Chat — Builds with Brandon Hetrick,https://sitemap.lititzbmx.com/youtube-archive/records/6W4qgR5tTQw/,Original Brandon Hetrick build discussion archive record.
SRC-008,All Wheels and ADA,https://sitemap.lititzbmx.com/youtube-archive/records/ehcTN1844o0/,Brandon Hetrick short about all-wheel access and ADA.
SRC-009,ADA Cost Consideration,https://sitemap.lititzbmx.com/youtube-archive/records/tYKIlnapxJc/,Brandon Hetrick short discussing ADA design cost.
SRC-010,Pump Tracks Bring Business,https://sitemap.lititzbmx.com/youtube-archive/records/cw8S6BJ0ulY/,Brandon Hetrick short about community business impact.
SRC-011,Pump Tracks Serve Many Groups,https://sitemap.lititzbmx.com/youtube-archive/records/eY7UPVY9eQs/,Brandon Hetrick short about beauty and broad community use.
SRC-012,Travel to Ride Pump Tracks,https://sitemap.lititzbmx.com/youtube-archive/records/1D3oxMbNwPM/,Brandon Hetrick short about pump-track travel.
SRC-013,Brandon Gets Excited About Warwick / Lititz,https://sitemap.lititzbmx.com/youtube-archive/records/pQLJVDjJsZU/,Brandon Hetrick short about the Warwick/Lititz concept.
SRC-014,Keep Building,https://sitemap.lititzbmx.com/youtube-archive/records/YxQVr0BaGEo/,Brandon Hetrick short about always building.
SRC-015,Green Mountain Cyclery and BMX Tracks,https://sitemap.lititzbmx.com/youtube-archive/records/IXlU0B3XmzE/,Brandon Hetrick short about Green Mountain Cyclery’s track support.
